,passenger_count,distances,trip_duration
276,1,3036,502
277,2,1238,519
278,1,1721,701
279,1,984,436
280,1,15403,2389
281,1,3900,681
282,1,1884,804
283,1,636,162
284,1,3647,1926
285,2,6675,1732
286,1,365,66
287,6,2014,426
288,1,2798,723
289,1,4777,904
290,1,7113,1368
291,1,1419,1670
292,1,1348,470
293,1,1862,536
294,1,1501,393
295,1,535,305
296,1,2830,1086
297,2,2180,926
298,1,7007,2380
299,1,7117,1618
300,1,1350,338
301,1,9675,2075
302,1,1505,548
303,1,6601,849
304,6,6813,1478
305,1,1406,305
306,6,1406,1022
307,1,3101,1474
308,1,4320,687
309,1,2207,394
310,1,10612,1072
311,1,2852,901
312,1,953,412
313,2,3833,584
314,1,1818,724
315,1,799,281
316,2,2904,839
317,1,3497,1475
318,2,1457,353
319,1,8847,955
320,1,2000,1517
321,1,6918,1589
322,1,531,191
323,1,827,131
324,2,2705,556
325,1,1561,499
326,2,1978,991
327,1,2749,253
328,1,3860,1232
329,1,899,242
330,1,1145,107
331,1,4378,694
332,1,2457,642
333,1,9791,2487
334,1,1491,309
335,1,2271,1499
336,1,1412,496
337,1,2300,426
338,1,1392,113
339,1,1525,787
340,1,6479,1221
341,1,944,298
342,4,17781,3516
343,1,1756,576
344,2,3138,889
345,1,930,354
346,1,4496,1561
347,6,2587,677
348,1,795,420
349,1,4308,1909
350,1,635,209
351,5,5168,1087
352,1,1097,845
353,6,1050,366
354,1,4079,1175
355,2,1645,303
356,5,9395,3295
357,1,1210,325
358,1,7199,1014
359,1,5191,1127
360,2,3922,924
361,2,2776,776
362,6,1214,428
363,1,1667,658
364,1,13652,1975
365,1,3572,1011
366,1,711,427
367,1,3957,665
368,1,856,250
369,1,1093,232
370,3,1519,870
371,1,979,385
372,5,3575,719
373,1,1032,344
374,2,1637,1075
375,1,20942,2672
376,1,883,169
377,1,2396,1178
378,2,1136,225
379,1,1267,342
380,1,927,487
381,2,2161,1539
382,2,10317,1394
383,2,1026,200
384,6,6546,1162
385,1,2779,801
386,1,1139,722
387,1,2219,655
388,1,1991,810
389,1,6000,2734
390,5,1722,672
391,1,3804,1194
392,1,9107,2521
393,2,16245,1074
394,1,2022,601
395,1,1665,779
396,1,10552,2401
397,2,1198,346
398,1,16403,1894
399,2,791,254
400,1,229,18
401,3,7530,1271
402,1,513,262
403,1,1083,979
404,1,1674,773
405,1,3533,1162
406,2,2610,1060
407,2,1157,619
408,1,1639,534
409,5,4365,704
410,6,1143,367
411,1,1822,616
412,2,8994,1816
413,1,6454,1879
414,1,1191,286
415,1,3555,1503
416,2,3439,1362
417,3,4933,1059
418,2,1118,149
419,1,1294,129
420,1,1136,2156
421,1,6416,826
422,1,6992,1063
423,1,750,86262
424,1,3370,413
425,4,3041,819
426,5,9052,2057
427,1,2367,466
428,6,2985,597
429,1,31441,2542
430,1,10283,1716
431,1,975,819
432,2,4905,1004
433,1,1722,452
434,3,11245,2151
435,2,1323,454
436,1,12619,2912
437,2,3279,1164
438,2,6145,1725
439,1,5918,1404
440,5,3026,1238
441,3,1043,192
442,1,1409,382
443,1,3255,1065
444,1,2220,306
445,3,20434,2853
446,5,8557,1727
447,1,1359,670
448,1,671,342
449,1,7167,1338
450,1,1323,472
451,2,1704,703
452,1,1011,567
453,2,1798,407
454,1,2217,727
455,1,8033,898
456,2,1176,806
457,1,1016,357
458,1,1929,1326
459,2,16024,3420
460,1,4836,883
461,1,860,1251
462,4,7043,3164
463,1,1095,322
464,1,1249,774
465,1,2610,430
466,1,2918,514
467,1,5782,803
468,1,7696,1106
469,1,9526,971
470,1,2366,285
471,4,762,229
472,1,5430,1112
473,1,2763,871
474,1,2345,660
475,2,13682,1540
476,3,5955,1424
477,2,1872,915
478,1,1300,249
479,2,5023,1948
480,1,2077,919
481,1,5408,1547
482,1,2375,545
483,1,373,345
484,1,2563,1154
485,1,2806,1011
486,1,1693,604
487,1,4769,1872
488,1,1403,556
489,1,423,91
490,2,1407,441
491,1,1827,1728
492,1,1686,618
493,1,2700,493
494,2,4053,992
495,1,3032,943
496,1,3229,573
497,2,2445,756
498,1,671,568
499,2,2835,620
500,1,1596,444
501,1,1737,922
502,5,932,374
503,1,1608,1090
504,4,753,200
505,1,2033,636
506,1,772,395
507,1,1530,787
508,2,1140,576
509,1,1400,357
510,1,795,216
511,1,1341,364
512,1,1457,1411
513,1,2738,594
514,1,789,239
515,6,844,405
516,1,640,368
517,1,3159,483
518,1,4177,1281
519,1,576,143
520,2,3319,809
521,1,4960,632
522,1,1303,1321
523,2,2813,847
524,1,4209,877
525,2,2264,551
526,2,5256,1131
527,1,4886,941
528,6,377,145
529,2,11090,1422
530,1,1824,371
531,1,650,278
532,1,239,362
533,1,7713,1402
534,1,1675,206
535,1,1259,472
536,1,1157,333
537,1,2952,473
538,1,2169,303
539,6,10832,1559
540,4,17054,1866
541,2,813,676
542,4,2617,955
543,2,2168,1140
544,1,4240,778
545,2,1093,253
546,6,649,97
547,2,2111,754
548,2,4492,905
549,1,10121,2201
550,1,1750,703
551,1,2388,669
552,1,1644,780
553,1,845,481
554,2,2112,830
555,2,67,31
556,1,2448,485
557,1,1591,461
558,2,832,145
559,1,14079,2070
560,1,2557,263
561,1,3843,975
562,3,4372,984
563,1,2343,852
564,1,626,72
565,1,1933,441
566,5,2207,364
567,2,843,246
568,1,3224,570
569,1,3118,1384
570,1,1877,86145
571,1,572,297
572,1,2093,385
573,1,1853,1349
574,1,5697,1992
575,1,10369,2876
576,1,1775,764
577,1,3010,485
578,1,3439,735
579,1,3858,1819
580,5,3241,808
581,1,7611,2155
582,1,2590,718
583,1,629,367
584,1,689,255
585,1,1360,555
586,1,7188,787
587,5,6477,1277
588,1,5901,1421
589,1,2975,557
590,1,2860,895
591,1,1602,398
592,1,1138,375
593,2,2831,1416
594,1,708,130
595,1,4032,616
596,1,4129,981
597,1,6274,1769
598,1,475,313
599,1,1964,1193
600,1,992,120
601,1,1466,487
602,2,5611,1069
603,1,4011,417
604,2,1152,273
605,2,20815,1975
606,1,3098,1006
607,1,2574,606
608,1,21784,2773
609,2,907,526
610,1,2961,537
611,1,11779,1365
612,1,2563,1022
613,1,2719,774
614,1,1010,282
615,1,2238,615
616,1,3949,610
617,1,1386,294
618,1,1466,675
619,1,1871,1579
620,2,490,283
621,1,4052,1853
622,1,9684,2206
623,1,732,286
624,1,811,340
625,1,20396,4266
626,1,1580,483
627,2,1593,522
628,1,3338,908
629,2,20145,4261
630,1,509,106
631,1,2552,1432
632,2,2112,741
633,1,2598,906
634,1,709,428
635,2,2099,543
636,1,893,428
637,1,2172,558
638,1,1196,522
639,1,19793,2425
640,1,1542,727
641,1,3363,603
642,1,953,800
643,1,1616,663
644,1,2533,655
645,1,4991,1252
646,1,426,147
647,1,2361,1088
648,1,2156,430
649,1,2417,814
650,1,1200,339
651,1,1597,552
652,5,1129,380
653,1,19545,2807
654,1,2205,664
655,6,3892,1582
656,5,2602,885
657,1,5563,1381
658,1,2949,909
659,1,1445,494
660,1,8562,894
661,1,1419,341
662,2,1024,255
663,1,2409,612
664,6,6857,1414
665,1,1909,379
666,1,1937,655
667,1,9282,2570
668,2,1641,311
669,2,1526,789
670,1,584,54
671,2,1184,122
672,3,2367,1114
673,5,6485,1091
674,1,730,295
675,1,2524,448
676,1,1064,504
677,1,819,181
678,1,961,418
679,1,20220,3662
680,1,813,469
681,2,2510,517
682,2,2075,1000
683,1,1288,474
684,1,7816,773
685,6,3476,1524
686,1,6015,1238
687,6,899,239
688,1,2405,694
689,1,6326,771
690,1,8327,657
691,5,5632,1609
692,1,1862,995
693,1,7553,1292
694,1,8944,1162
695,1,524,85
696,1,4167,934
697,1,10503,1466
698,2,1307,612
699,2,8963,1185
700,1,8051,1039
701,1,2070,681
702,1,4827,879
703,5,3979,1247
704,2,1873,893
705,1,1121,440
706,1,908,403
707,1,615,191
708,1,1615,548
709,1,1390,555
710,1,4068,1755
711,1,1501,715
712,1,4039,1727
713,6,2589,663
714,1,1703,787
715,5,6503,1283
716,1,1687,444
717,2,2887,878
718,1,20672,2748
719,6,705,166
720,1,2281,530
721,1,5622,579
722,1,1703,579
723,6,1909,809
724,2,1953,863
725,1,1374,916
726,3,818,361
727,1,640,805
728,3,883,358
729,1,841,280
730,4,6312,1412
731,1,4704,920
732,3,4974,2072
733,1,366,375
734,6,2424,957
735,1,1965,257
736,1,958,263
737,2,491,257
738,5,2400,540
739,1,1470,649
740,1,3072,716
741,1,593,209
742,1,1257,303
743,1,7314,1463
744,1,2330,603
745,2,867,1248
746,1,9057,1580
747,1,0,365
748,1,2580,649
749,5,780,201
750,1,1858,1590
751,1,1031,370
752,1,9711,1564
753,1,2645,677
754,1,1246,214
755,1,1837,636
756,1,795,448
757,1,947,297
758,3,2547,781
759,1,14395,1477
760,1,2248,719
761,1,952,494
762,1,1808,755
763,1,1779,663
764,1,4416,1378
765,1,5681,2235
766,1,2538,903
767,1,729,294
768,1,2583,511
769,1,2663,907
770,2,1605,421
771,1,4880,1575
772,2,2499,498
773,3,1722,790
774,2,1162,799
775,3,6538,822
776,1,875,255
777,2,265,174
778,2,1728,883
779,3,15092,2430
780,5,7792,1125
781,1,3534,745
782,1,4471,897
783,1,4467,973
784,1,3310,1999
785,1,996,374
786,1,1674,452
787,1,1814,254
788,1,4193,1328
789,1,12256,2096
790,1,1978,1317
791,5,1682,1229
792,5,2634,474
793,1,1707,366
794,1,4957,1588
795,2,1982,280
796,1,4100,727
797,5,895,481
798,1,732,931
799,1,5145,1941
800,1,478,205
801,2,5983,1307
802,1,8070,1418
803,1,406,214
804,3,2790,996
805,3,1880,605
806,1,8326,1148
807,1,1350,657
808,6,3170,828
809,1,3540,832
810,4,6801,1376
811,1,1629,1108
812,1,2502,638
813,1,647,187
814,1,3128,703
815,1,735,430
816,1,1610,658
817,6,469,524
818,1,19904,2215
819,4,4510,489
820,1,10984,2722
821,1,1242,563
822,1,9034,1328
823,2,2670,1368
824,1,25060,2040
825,1,3628,842
826,1,5279,723
827,1,1851,1426
828,1,1973,423
829,1,2924,635
830,1,1663,1365
831,3,729,179
832,1,2810,1264
833,3,5242,2061
834,5,805,163
835,1,1580,507
836,1,4990,751
837,1,3208,852
838,1,2172,925
839,1,7354,1768
840,3,1224,1122
841,1,6072,1244
842,1,11318,3454
843,1,7366,2064
844,2,1297,542
845,1,1424,961
846,1,1549,685
847,1,2159,1778
848,1,2865,521
849,1,693,267
850,1,2881,590
851,1,759,191
852,1,24144,2237
853,1,2957,644
854,1,718,85299
855,2,10209,1747
856,1,13630,1038
857,1,2798,827
858,1,1620,801
859,1,991,367
860,2,2000,527
861,1,1471,542
862,2,907,399
863,5,9145,850
864,6,5714,1368
865,2,2485,1064
866,1,795,334
867,1,1704,410
868,1,3511,407
869,3,4891,1203
870,1,2067,1461
871,1,4285,1782
872,1,6346,1812
873,1,3437,495
874,2,458,166
875,1,12376,1576
876,1,17549,2892
877,4,867,384
878,1,1132,204
879,5,3707,933
880,1,7167,2565
881,1,3888,737
882,1,2544,738
883,1,2218,736
884,1,4021,883
885,2,4295,805
886,4,1578,515
887,1,5055,1120
888,3,1537,499
889,2,2048,573
890,1,1382,499
891,1,3193,1050
892,1,10467,1919
893,1,5436,2793
894,1,3463,971
895,1,6216,1433
896,6,2796,856
897,1,1986,578
898,1,2023,987
899,1,1246,310
900,1,879,361
901,1,2455,788
902,1,1601,542
903,1,1968,617
904,1,6393,2714
905,1,742,226
906,1,920,165
907,1,0,601
908,3,727,400
909,1,19467,3136
910,1,1584,437
911,3,3599,730
912,1,1744,756
913,6,3213,947
914,1,3181,1178
915,1,1573,331
916,2,1652,556
917,1,2516,569
918,1,1775,308
919,1,1917,719
920,1,8264,1695
921,1,3056,1818
922,1,6630,1851
923,1,1643,763
924,1,924,318
925,1,22487,2343
926,1,1738,370
927,1,1006,355
928,1,869,159
929,1,2416,893
930,1,0,485
931,1,3476,434
932,2,634,298
933,1,1374,1220
934,1,5649,1807
935,5,0,912
936,1,2453,1224
937,1,896,302
938,6,744,327
939,1,1400,169
940,1,2249,1109
941,1,706,472
942,1,1208,619
943,1,778,290
944,3,3597,1405
945,1,2342,637
946,1,1690,498
947,1,3990,704
948,1,8802,2576
949,1,3538,955
950,1,13555,2669
951,1,1163,590
952,1,2275,1186
953,1,992,304
954,1,21295,2119
955,1,10283,1649
956,1,2356,718
957,5,4183,919
958,1,2622,431
959,2,2003,431
960,1,824,336
961,1,11071,2108
962,1,1415,438
963,1,3514,613
964,1,870,245
965,1,4743,1773
966,1,2057,409
967,1,9377,1104
968,5,3762,1750
969,2,6434,1471
970,1,17143,1787
971,3,1487,716
972,1,2351,576
973,1,4382,749
974,1,1215,411
975,1,1702,347
976,1,1267,374
977,1,7650,1144
978,2,1300,1050
979,1,1098,826
980,1,2267,694
981,1,1991,580
982,1,580,276
983,1,1019,381
984,1,4166,758
985,1,5649,820
986,1,1324,419
987,1,752,263
988,1,2572,856
989,1,3103,714
990,1,2770,564
991,1,939,447
992,1,844,863
993,1,1261,318
994,1,3690,878
995,3,2005,484
996,6,1856,154
997,1,1046,295
998,1,1704,347
999,1,3014,879
1000,1,590,343
1001,1,3219,1003
1002,1,1904,414
1003,1,774,83
1004,1,1338,586
1005,1,12645,1355
1006,1,4375,693
1007,1,1111,659
1008,3,2623,1023
1009,1,11388,934
1010,1,4138,757
1011,1,723,602
1012,1,1078,637
1013,6,3957,1276
1014,1,865,99
1015,1,10688,2113
1016,1,2230,686
1017,2,2425,681
1018,1,3762,1386
1019,5,14395,2267
1020,1,2512,562
1021,1,993,370
1022,1,3910,780
1023,2,12553,2750
1024,1,21447,3221
1025,1,832,241
1026,3,1049,270
1027,1,15281,2068
1028,1,4597,1135
1029,1,3629,559
1030,1,18045,3996
1031,1,1809,502
1032,1,1278,331
1033,6,1387,551
1034,1,10188,1813
1035,1,1219,294
1036,1,4354,773
1037,1,1577,611
1038,1,2918,1224
1039,1,2658,1802
1040,1,9744,3013
1041,1,232,131
1042,2,3853,1105
1043,1,2126,915
1044,1,592,366
1045,1,551,268
1046,2,5756,1072
1047,1,763,643
1048,1,9382,1238
1049,5,21197,1423
1050,1,719,194
1051,4,1858,516
1052,1,4348,679
1053,1,4412,826
1054,6,11926,1371
1055,2,470,296
1056,6,1903,636
1057,1,961,366
1058,1,1098,242
1059,1,664,192
1060,1,5252,971
1061,1,2917,544
1062,2,1089,496
1063,1,4426,1968
1064,2,851,700
1065,1,9543,1214
1066,1,2417,1270
1067,2,6539,1069
1068,1,2367,499
1069,2,509,53
1070,1,1825,470
1071,1,2530,656
1072,3,1332,888
1073,1,1777,892
1074,1,898,181
1075,1,1810,1398
1076,1,6899,1200
1077,1,1999,226
1078,1,21078,1837
1079,2,1985,462
1080,1,1341,267
1081,1,2470,689
1082,1,1343,486
1083,6,195,104
1084,1,1789,614
1085,1,2026,441
1086,1,2239,802
1087,1,8247,1540
1088,1,905,313
1089,1,454,377
1090,1,1764,535
1091,5,2763,455
1092,1,1517,835
1093,1,11023,1211
1094,2,13385,2088
1095,1,3657,1997
1096,3,4476,1675
1097,1,9965,1757
1098,2,2604,593
1099,1,1706,1034
1100,4,1258,479
1101,1,2162,526
1102,1,2974,1254
1103,1,749,214
1104,2,870,171
1105,1,15726,3003
1106,1,13829,1483
1107,2,864,277
1108,2,3393,608
1109,2,1636,300
1110,1,1593,1053
1111,1,2783,1378
1112,1,3583,1011
1113,1,4560,1712
1114,1,7899,1769
1115,1,987,219
1116,1,1008,215
1117,1,2587,473
1118,1,1725,757
1119,1,2461,938
1120,1,3331,818
1121,3,2081,429
1122,1,2449,619
1123,1,1192,594
1124,1,2178,863
1125,5,2780,707
1126,1,2302,824
1127,1,19605,1804
1128,1,1127,291
1129,1,3564,709
1130,1,2048,637
1131,1,1412,255
1132,2,20808,1777
1133,1,4131,515
1134,5,1503,350
1135,2,6217,4758
1136,2,9336,2918
1137,1,570,221
1138,1,1756,335
1139,1,800,287
1140,1,742,276
1141,1,1306,291
1142,4,5427,924
1143,1,3481,1579
1144,1,1011,770
1145,1,1500,437
1146,1,1692,274
1147,1,1665,225
1148,4,3972,842
1149,1,8479,2402
1150,1,911,195
1151,1,2989,643
1152,1,866,208
1153,2,1783,3339
1154,1,15562,1757
1155,1,469,243
1156,1,747,603
1157,2,912,311
1158,1,2931,776
1159,1,12283,3267
1160,3,642,152
1161,1,3288,732
1162,1,4286,1329
1163,1,5361,962
1164,3,1480,710
1165,1,2629,526
1166,1,4161,838
1167,1,5995,735
1168,3,2528,969
1169,1,1095,569
1170,1,1190,229
1171,1,1735,967
1172,2,4111,786
1173,1,8655,2069
1174,2,910,202
1175,3,2671,627
1176,1,761,383
1177,1,2874,645
1178,1,1859,274
1179,1,2008,1162
1180,3,2479,1084
1181,1,2793,644
1182,2,1525,426
1183,3,2620,840
1184,1,2235,753
1185,1,1339,412
1186,1,1854,399
1187,1,1049,359
1188,1,2585,683
1189,5,1391,618
1190,1,690,169
1191,1,721,123
1192,1,2519,678
1193,5,3488,784
1194,1,2603,516
1195,2,1096,141
1196,1,9357,867
1197,2,12921,1708
1198,1,4881,919
1199,1,632,465
1200,2,1929,643
1201,1,618,130
1202,1,3149,779
1203,1,8107,2035
1204,4,19965,1911
1205,1,886,225
1206,1,1158,250
1207,1,2346,592
1208,2,1410,431
1209,2,905,646
1210,1,8194,1197
1211,3,8180,1103
1212,1,1572,629
1213,5,1348,293
1214,1,0,10
1215,1,1627,916
1216,3,1127,227
1217,2,3271,653
1218,1,8606,1761
1219,1,3437,1012
1220,6,708,417
1221,1,2034,1451
1222,1,2608,1066
1223,1,2159,850
1224,1,652,322
1225,1,6118,1065
1226,6,5062,1643
1227,1,1968,1253
1228,1,4206,546
1229,1,976,413
1230,1,1381,366
1231,1,4006,1092
1232,1,1991,342
1233,1,2332,719
1234,1,1356,459
1235,1,3242,623
1236,4,4343,1725
1237,5,3037,1063
1238,1,17797,3636
1239,1,1226,263
1240,2,719,346
1241,1,1226,253
1242,1,2628,490
1243,1,2575,510
1244,1,3116,891
1245,1,2094,652
1246,1,2330,809
1247,1,6790,1330
1248,3,1465,289
1249,1,2541,1271
1250,1,3385,417
1251,1,5936,1069
1252,1,2597,977
1253,4,2715,427
1254,1,1568,858
1255,1,1321,337
1256,1,595,191
1257,1,4532,1178
1258,1,1213,308
1259,2,1658,477
1260,1,6854,1311
1261,1,2244,1072
1262,1,3247,662
1263,1,793,324
1264,2,7083,1050
1265,5,4345,1719
1266,5,899,712
1267,1,2160,570
1268,1,2889,708
1269,1,2595,606
1270,3,969,339
1271,1,3438,2058
1272,3,712,101
1273,1,20960,2035
1274,5,2763,990
1275,1,2413,681
1276,1,7292,1047
1277,1,3787,827
1278,1,1444,701
1279,5,814,195
1280,1,554,152
1281,1,571,379
1282,1,1662,392
1283,1,15676,2897
1284,1,14119,1396
1285,1,892,302
1286,1,4723,912
1287,1,1974,801
1288,1,819,227
1289,1,2044,844
1290,1,5997,1342
1291,1,1985,514
1292,1,3669,894
1293,1,7338,1578
1294,3,1237,230
1295,1,6888,1053
1296,5,14938,1705
1297,1,442,148
1298,1,8774,1432
1299,1,2929,1152
1300,2,3916,828
1301,5,3105,611
1302,2,3975,705
1303,5,437,98
1304,1,1934,491
1305,1,1697,509
1306,1,760,152
1307,1,1625,629
1308,2,442,474
1309,1,2678,710
1310,2,1481,647
1311,2,3520,1101
1312,2,1020,698
1313,2,1829,1077
1314,2,24940,1951
1315,1,2429,1440
1316,2,937,258
1317,1,1093,448
1318,1,1429,291
1319,1,3076,961
1320,2,8741,2084
1321,1,966,538
1322,1,1631,505
1323,2,3911,1326
1324,1,852,184
1325,1,1048,729
1326,1,257,122
1327,5,1459,275
1328,1,1166,554
1329,5,4445,847
1330,1,3063,1440
1331,1,2304,595
1332,6,2829,266
1333,1,1838,762
1334,1,1643,442
1335,2,5473,745
1336,1,5533,620
1337,3,2571,580
1338,2,2385,839
1339,1,1016,275
1340,1,1529,287
1341,1,1222,186
1342,3,1021,363
1343,1,2169,387
1344,1,10168,1560
1345,1,2239,971
1346,1,1179,574
1347,4,2349,620
1348,1,3587,629
1349,1,2078,815
1350,1,1229,1035
1351,1,3408,761
1352,1,9438,2661
1353,3,1450,472
1354,1,347,253
1355,1,1438,407
1356,1,2015,807
1357,1,8158,1616
1358,6,1730,654
1359,1,5202,1249
1360,1,3535,790
1361,1,0,774
1362,2,2147,382
1363,1,9410,1955
1364,1,2836,1030
1365,3,542,330
1366,3,1213,526
1367,3,5372,1489
1368,2,3445,783
1369,1,1012,348
1370,1,1101,255
1371,1,6167,1220
1372,1,581,230
1373,1,2190,285
1374,1,1532,942
1375,1,2694,318
1376,1,996,1034
1377,2,4544,858
1378,1,445,264
1379,1,661,229
1380,1,4859,1362
1381,1,1423,900
1382,2,1503,460
1383,1,14286,1471
1384,1,11278,2544
1385,6,1476,763
1386,2,619,216
1387,5,723,158
1388,1,3601,392
1389,1,5269,1389
1390,2,913,414
1391,1,815,123
1392,5,2571,687
1393,1,6467,914
1394,1,1994,695
1395,1,1566,483
1396,1,2037,1440
1397,1,4089,963
1398,1,1555,163
1399,1,1876,540
1400,1,1955,603
1401,1,2899,909
1402,1,583,265
1403,1,1790,1071
1404,1,2341,369
1405,2,2558,577
1406,1,4313,704
1407,1,1002,368
1408,1,1030,507
1409,1,2573,747
1410,1,4072,1150
1411,3,4621,2031
1412,5,1840,298
1413,1,1689,679
1414,1,601,196
1415,1,1023,184
1416,5,2269,614
1417,5,1179,180
1418,5,11622,1100
1419,1,1584,996
1420,1,1132,503
1421,4,23361,3399
1422,1,2334,921
1423,1,1957,1399
1424,1,4402,629
1425,1,941,344
1426,2,10425,1635
1427,1,1607,369
1428,1,2160,742
1429,2,1504,345
1430,1,534,118
1431,2,2709,1169
1432,1,732,338
1433,1,19337,2410
1434,1,2630,884
1435,1,5657,981
1436,1,1940,483
1437,1,1991,374
1438,1,2027,550
1439,1,723,183
1440,3,630,276
1441,1,2023,580
1442,2,1870,342
1443,5,581,286
1444,1,2167,1069
1445,1,2244,566
1446,3,335,1601
1447,1,4548,834
1448,1,844,301
1449,1,4175,1456
1450,2,1305,363
1451,1,2016,485
1452,1,2331,1139
1453,1,3111,701
1454,1,1634,613
1455,1,19161,3148
1456,1,3008,892
1457,1,1517,226
1458,2,1324,473
1459,2,6801,1784
1460,1,1779,783
1461,1,1451,496
1462,1,16104,1249
1463,1,1459,287
1464,1,398,184
1465,2,6069,831
1466,1,12679,1980
1467,1,9345,2523
1468,1,917,408
1469,1,1193,670
1470,1,1480,515
1471,1,2682,708
1472,1,6939,1582
1473,1,17811,2470
1474,5,1319,86234
1475,2,885,270
1476,2,8058,2176
